(1)838|(1)838|[]
(1)911|(1)911|[]
(1)912|(1)912|[]
(1)921|(1)921|[]
(1)924|(1)924|[]
(1)926|(1)926|[]
(1)927|(1)927|[]
(1)930|(1)930|[]
(1)931|(1)931|[]
(1)932|(1)932|[]
(1)935|(1)935|[]
(1)937|(1)937|[]
(1)938|(1)938|[]
(15)80|(15)80|[https://dbpedia.org/page/1st_century]
(16)98|(16)98|[https://dbpedia.org/page/1st_century]
(17)70|(17)70|[https://dbpedia.org/page/1st_century]
(1789 - 1797)|(1789 - 1797)|[https://dbpedia.org/page/18th_century]
(18)96|(18)96|[https://dbpedia.org/page/1st_century]
(1871 - 1956)|(1871 - 1956)|[https://dbpedia.org/page/19th_century, https://dbpedia.org/page/20th_century]
(19) 14|(19) 14|[https://dbpedia.org/page/1st_century]
(19)08|(19)08|[https://dbpedia.org/page/1st_century]
(19)27|(19)27|[https://dbpedia.org/page/1st_century]
(19)28|(19)28|[https://dbpedia.org/page/1st_century]
(19)38|(19)38|[https://dbpedia.org/page/1st_century]
(19)45|(19)45|[https://dbpedia.org/page/1st_century]
(fals după) 1906|(fals dupa) 1906|[https://dbpedia.org/page/20th_century]
(sec. xviii ?)|(sec. xviii ?)|[https://dbpedia.org/page/18th_century]
-|-|[]
1 iulie 1678|1 iulie 1678|[https://dbpedia.org/page/17th_century]
1 iulie 1834|1 iulie 1834|[https://dbpedia.org/page/19th_century]
1 iunie 1815|1 iunie 1815|[https://dbpedia.org/page/19th_century]
1 mai 1849|1 mai 1849|[https://dbpedia.org/page/19th_century]
1 mai 1939|1 mai 1939|[https://dbpedia.org/page/20th_century]
1 martie 1904|1 martie 1904|[https://dbpedia.org/page/20th_century]
1 martie 1948|1 martie 1948|[https://dbpedia.org/page/20th_century]
1 noiembrie 1624|1 noiembrie 1624|[https://dbpedia.org/page/17th_century]
1 noiembrie 1668|1 noiembrie 1668|[https://dbpedia.org/page/17th_century]
1 noiembrie 1819|1 noiembrie 1819|[https://dbpedia.org/page/19th_century]
1 septembrie 1881|1 septembrie 1881|[https://dbpedia.org/page/19th_century]
1.04.1919|1.04.1919|[https://dbpedia.org/page/20th_century]
1.09.1607|1.09.1607|[https://dbpedia.org/page/17th_century]
1/ sec. xix|1/ sec. xix|[https://dbpedia.org/page/19th_century]
1/10 sec. xviii|1/10 sec. xviii|[https://dbpedia.org/page/18th_century]
1/2 a sec. xx|1/2 a sec. xx|[https://dbpedia.org/page/20th_century]
1/2 mil iii a.chr.|1/2 mil iii __BC__|[http://opendata.cs.pub.ro/resource/timespan/unknown//century]
1/2 mil iv a.chr. - mil iii a.chr.|1/2 mil iv __BC__- mil iii __BC__|[http://opendata.cs.pub.ro/resource/timespan/unknown//century]
1/2 mil iv a.chr.|1/2 mil iv __BC__|[http://opendata.cs.pub.ro/resource/timespan/unknown//century]
1/2 mil. 5 - sec. i al mil. 4 a.chr.|1/2 mil. 5 - sec. i al mil. 4 __BC__|[http://opendata.cs.pub.ro/resource/timespan/unknown//century, https://dbpedia.org/page/1st_century]
1/2 mil. v - 1/4 mil. iv a.chr.|1/2 mil. v - 1/4 mil. iv __BC__|[http://opendata.cs.pub.ro/resource/timespan/unknown//century]
1/2 mil. v a hr.|1/2 mil. v __BC__|[http://opendata.cs.pub.ro/resource/timespan/unknown//century]
1/2 mil. v a hr|1/2 mil. v __BC__|[http://opendata.cs.pub.ro/resource/timespan/unknown//century]
1/2 mil. v a.chr.|1/2 mil. v __BC__|[http://opendata.cs.pub.ro/resource/timespan/unknown//century]
1/2 mileniul v a.chr.|1/2 mileniul v __BC__|[http://opendata.cs.pub.ro/resource/timespan/unknown//century]
1/2 mileniului v a. chr.|1/2 mileniului v __BC__|[http://opendata.cs.pub.ro/resource/timespan/unknown//century]
1/2 sec iii p.chr.|1/2 sec iii __AD__|[https://dbpedia.org/page/3rd_century]
1/2 sec xix|1/2 sec xix|[https://dbpedia.org/page/19th_century]
1/2 sec xviii|1/2 sec xviii|[https://dbpedia.org/page/18th_century]
1/2 sec xvii|1/2 sec xvii|[https://dbpedia.org/page/17th_century]
1/2 sec xx|1/2 sec xx|[https://dbpedia.org/page/20th_century]
1/2 sec. al xix.|1/2 sec. al xix.|[https://dbpedia.org/page/19th_century]
1/2 sec. al xix|1/2 sec. al xix|[https://dbpedia.org/page/19th_century]
1/2 sec. al xvii|1/2 sec. al xvii|[https://dbpedia.org/page/17th_century]
1/2 sec. al xvi|1/2 sec. al xvi|[https://dbpedia.org/page/16th_century]
1/2 sec. al xx-lea|1/2 sec. al xx-lea|[https://dbpedia.org/page/20th_century]
1/2 sec. al xx|1/2 sec. al xx|[https://dbpedia.org/page/20th_century]
1/2 sec. i - sf. sec. ii|1/2 sec. i - sf. sec. ii|[https://dbpedia.org/page/1st_century, https://dbpedia.org/page/2nd_century]
1/2 sec. i a. chr.|1/2 sec. i __BC__|[https://dbpedia.org/page/1st_century_BC]
1/2 sec. i a.chr.|1/2 sec. i __BC__|[https://dbpedia.org/page/1st_century_BC]
1/2 sec. i p.chr.|1/2 sec. i __AD__|[https://dbpedia.org/page/1st_century]
1/2 sec. ii d hr.|1/2 sec. ii __AD__|[https://dbpedia.org/page/2nd_century]
1/2 sec. iii - sec. ii a. chr.|1/2 sec. iii - sec. ii __BC__|[https://dbpedia.org/page/2nd_century_BC, https://dbpedia.org/page/3rd_century_BC]
1/2 sec. iii p. chr (în jurul anului 240)|1/2 sec. iii __AD__ (in jurul anului 240)|[https://dbpedia.org/page/3rd_century]
1/2 sec. iii p.chr.|1/2 sec. iii __AD__|[https://dbpedia.org/page/3rd_century]
1/2 sec. v p. chr.|1/2 sec. v __AD__|[https://dbpedia.org/page/5th_century]
1/2 sec. v p.chr.|1/2 sec. v __AD__|[https://dbpedia.org/page/5th_century]
1/2 sec. vi - sec. iv a.chr.|1/2 sec. vi - sec. iv __BC__|[https://dbpedia.org/page/4th_century_BC, https://dbpedia.org/page/5th_century_BC, https://dbpedia.org/page/6th_century_BC]
1/2 sec. vi a.chr.|1/2 sec. vi __BC__|[https://dbpedia.org/page/6th_century_BC]
1/2 sec. vii a.chr.|1/2 sec. vii __BC__|[https://dbpedia.org/page/7th_century_BC]
1/2 sec. viii a. chr.|1/2 sec. viii __BC__|[https://dbpedia.org/page/8th_century_BC]
1/2 sec. v|1/2 sec. v|[https://dbpedia.org/page/5th_century]
1/2 sec. xiii ?|1/2 sec. xiii ?|[https://dbpedia.org/page/13th_century]
1/2 sec. xii|1/2 sec. xii|[https://dbpedia.org/page/12th_century]
1/2 sec. xiv|1/2 sec. xiv|[https://dbpedia.org/page/14th_century]
1/2 sec. xix (1830 ?)|1/2 sec. xix (1830 ?)|[https://dbpedia.org/page/19th_century]
1/2 sec. xix|1/2 sec. xix|[https://dbpedia.org/page/19th_century]
1/2 sec. xi|1/2 sec. xi|[https://dbpedia.org/page/11th_century]
1/2 sec. xvi (epoca petru rareș)|1/2 sec. xvi (epoca petru rares)|[https://dbpedia.org/page/16th_century]
1/2 sec. xvii (1628 ?)|1/2 sec. xvii (1628 ?)|[https://dbpedia.org/page/17th_century]
1/2 sec. xviii, ante 1743|1/2 sec. xviii, ante 1743|[https://dbpedia.org/page/18th_century]
1/2 sec. xviii|1/2 sec. xviii|[https://dbpedia.org/page/18th_century]
1/2 sec. xvii|1/2 sec. xvii|[https://dbpedia.org/page/17th_century]
1/2 sec. xvi|1/2 sec. xvi|[https://dbpedia.org/page/16th_century]
1/2 sec. xv|1/2 sec. xv|[https://dbpedia.org/page/15th_century]
1/2 sec. xx.|1/2 sec. xx.|[https://dbpedia.org/page/20th_century]
1/2 sec. xx|1/2 sec. xx|[https://dbpedia.org/page/20th_century]
1/2 sec.xix. a doua jumătate a sec.al xix-lea.|1/2 sec.xix. a doua jumatate a sec.al xix-lea.|[https://dbpedia.org/page/19th_century]
1/2 sec.xix|1/2 sec.xix|[https://dbpedia.org/page/19th_century]
1/2 sec.xvii|1/2 sec.xvii|[https://dbpedia.org/page/17th_century]
1/2 sec.xv|1/2 sec.xv|[https://dbpedia.org/page/15th_century]
1/2 sec.xx|1/2 sec.xx|[https://dbpedia.org/page/20th_century]
1/2 secol xix|1/2 secol xix|[https://dbpedia.org/page/19th_century]
